time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-08 00:00:00+00:00,10,5,1,1
2026-08-09 00:00:00+00:00,9,4,0,0
2026-08-10 00:00:00+00:00,11,7,2,1
2026-08-11 00:00:00+00:00,1,1,0,0
2026-08-12 00:00:00+00:00,1,1,0,0
2026-08-13 00:00:00+00:00,13,4,1,1
2026-08-14 00:00:00+00:00,8,4,0,0
2026-08-15 00:00:00+00:00,646,632,0,0
2026-08-16 00:00:00+00:00,84,57,0,0
2026-08-17 00:00:00+00:00,5,4,0,0
2026-08-18 00:00:00+00:00,6,2,0,0
2026-08-19 00:00:00+00:00,6,5,0,0
2026-08-20 00:00:00+00:00,9,8,0,0
2026-08-21 00:00:00+00:00,19,9,0,0
