url_path,views_total,views_unique
/bandframework/rose,10,8
/bandframework/rose/blob/main/src/rose/schroedinger.py,8,2
/bandframework/rose/tree/main/docs/tutorials,4,2
/bandframework/rose/tree/main/src,4,2
/bandframework/rose/tree/main/src/rose,4,2
/bandframework/rose/tree/main/docs,3,3
/bandframework/rose/blob/main/docs/tutorials/ROSE_tutorial_0_quickstart.ipynb,3,2
/bandframework/rose/blob/main/docs/tutorials/ROSE_tutorial_1_building_an_emulator.ipynb,3,1
/bandframework/rose/blob/main/src/rose/utility.py,3,1
/bandframework/rose/blob/main/docs/tutorials/ROSE_Add_your_own_HF_solver.ipynb,2,1
