time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-17 00:00:00+00:00,9,4,0,0
2026-06-18 00:00:00+00:00,22,7,0,0
2026-06-19 00:00:00+00:00,44,11,0,0
2026-06-20 00:00:00+00:00,57,13,0,0
2026-06-21 00:00:00+00:00,27,8,0,0
2026-06-22 00:00:00+00:00,21,8,3,1
2026-06-23 00:00:00+00:00,50,11,0,0
2026-06-24 00:00:00+00:00,22,7,0,0
2026-06-25 00:00:00+00:00,28,9,0,0
2026-06-26 00:00:00+00:00,28,10,0,0
2026-06-27 00:00:00+00:00,15,6,0,0
2026-06-28 00:00:00+00:00,9,5,0,0
2026-06-29 00:00:00+00:00,22,9,2,1
2026-06-30 00:00:00+00:00,2,2,0,0
