time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-01 00:00:00+00:00,10,6,0,0
2026-03-02 00:00:00+00:00,7,3,11,4
2026-03-03 00:00:00+00:00,15,7,5,3
2026-03-04 00:00:00+00:00,26,15,1,1
2026-03-05 00:00:00+00:00,12,8,0,0
2026-03-06 00:00:00+00:00,15,7,0,0
2026-03-07 00:00:00+00:00,13,5,0,0
2026-03-08 00:00:00+00:00,8,4,0,0
2026-03-09 00:00:00+00:00,9,5,0,0
2026-03-10 00:00:00+00:00,6,2,0,0
2026-03-11 00:00:00+00:00,9,7,18,2
2026-03-12 00:00:00+00:00,8,4,0,0
2026-03-13 00:00:00+00:00,4,4,0,0
2026-03-14 00:00:00+00:00,7,3,0,0
