time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-02 00:00:00+00:00,3,3,3.0,3.0
2023-10-03 00:00:00+00:00,7,7,48.0,5.0
2023-10-04 00:00:00+00:00,6,5,33.0,3.0
2023-10-05 00:00:00+00:00,2,2,27.0,3.0
2023-10-06 00:00:00+00:00,3,2,21.0,2.0
2023-10-07 00:00:00+00:00,6,3,1.0,1.0
2023-10-08 00:00:00+00:00,1,1,,
2023-10-09 00:00:00+00:00,15,7,21.0,1.0
2023-10-10 00:00:00+00:00,5,4,24.0,3.0
2023-10-11 00:00:00+00:00,2,2,,
2023-10-12 00:00:00+00:00,18,2,19.0,3.0
2023-10-13 00:00:00+00:00,1,1,57.0,5.0
2023-10-14 00:00:00+00:00,1,1,,
