url_path,views_total,views_unique
/bandframework/rose,10,7
/bandframework/rose/tree/main/src/rose,8,2
/bandframework/rose/blob/main/docs/tutorials/ROSE_tutorial_1_building_an_emulator.ipynb,4,1
/bandframework/rose/tree/main/docs,3,1
/bandframework/rose/blob/main/src/rose/free_solutions.py,2,1
/bandframework/rose/blob/main/src/rose/reduced_basis_emulator.py,2,1
/bandframework/rose/blob/main/src/rose/schroedinger.py,2,1
/bandframework/rose/blob/main/src/rose/utility.py,2,1
/bandframework/rose/tree/main/docs/tutorials,2,1
/bandframework/rose/tree/main/tests,2,1
