time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-04 00:00:00+00:00,10,6,0,0
2026-04-05 00:00:00+00:00,13,5,0,0
2026-04-06 00:00:00+00:00,14,6,0,0
2026-04-07 00:00:00+00:00,20,11,0,0
2026-04-08 00:00:00+00:00,13,5,2,2
2026-04-09 00:00:00+00:00,2,2,2,1
2026-04-10 00:00:00+00:00,4,4,4,2
2026-04-11 00:00:00+00:00,18,8,1,1
2026-04-12 00:00:00+00:00,23,11,0,0
2026-04-13 00:00:00+00:00,13,7,1,1
2026-04-14 00:00:00+00:00,17,7,1,1
2026-04-15 00:00:00+00:00,24,7,1,1
2026-04-16 00:00:00+00:00,26,9,0,0
2026-04-17 00:00:00+00:00,25,8,0,0
