url_path,views_total,views_unique
/bandframework/rose,23,15
/bandframework/rose/blob/main/src/rose/scattering_amplitude_emulator.py,7,2
/bandframework/rose/tree/main/src/rose,7,2
/bandframework/rose/tree/main/src,4,2
/bandframework/rose/actions/workflows/python-package.yml,2,2
/bandframework/rose/pull/64,2,2
/bandframework/rose/blob/main/docs/basis.md,2,1
/bandframework/rose/blob/main/docs/tutorials/ROSE_tutorial_1_building_an_emulator.ipynb,2,1
/bandframework/rose/blob/main/.gitignore,2,1
/bandframework/rose/blob/main/mkdocs.yml,2,1
