url_path,views_total,views_unique
/bandframework/rose,15,7
/bandframework/rose/blob/main/src/rose/scattering_amplitude_emulator.py,13,2
/bandframework/rose/tree/main/src/rose,12,2
/bandframework/rose/blob/main/src/rose/reduced_basis_emulator.py,11,1
/bandframework/rose/blob/v1.0.0/docs/tutorials/ROSE_tutorial_2_optical_potential_surmise_UQ.ipynb,8,1
/bandframework/rose/issues,5,3
/bandframework/rose/pulls,4,2
/bandframework/rose/blob/feature-kd-global/examples/ROSE_HF_comp.ipynb,4,1
/bandframework/rose/releases/tag/v1.0.0,3,3
/bandframework/rose/issues/51,3,1
