time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-08 00:00:00+00:00,23,10,6,1
2026-06-09 00:00:00+00:00,20,7,3,1
2026-06-10 00:00:00+00:00,14,9,0,0
2026-06-11 00:00:00+00:00,22,9,1,1
2026-06-12 00:00:00+00:00,22,8,0,0
2026-06-13 00:00:00+00:00,22,10,0,0
2026-06-14 00:00:00+00:00,8,3,0,0
2026-06-15 00:00:00+00:00,11,5,0,0
2026-06-16 00:00:00+00:00,13,3,0,0
2026-06-17 00:00:00+00:00,9,4,0,0
2026-06-18 00:00:00+00:00,22,7,0,0
2026-06-19 00:00:00+00:00,44,11,0,0
2026-06-20 00:00:00+00:00,57,13,0,0
2026-06-21 00:00:00+00:00,27,8,0,0
