time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-25 00:00:00+00:00,17,12,1,1
2026-07-26 00:00:00+00:00,18,14,0,0
2026-07-27 00:00:00+00:00,14,4,0,0
2026-07-28 00:00:00+00:00,8,3,1,1
2026-07-29 00:00:00+00:00,9,4,1,1
2026-07-30 00:00:00+00:00,14,9,11,3
2026-07-31 00:00:00+00:00,7,3,0,0
2026-08-01 00:00:00+00:00,1,1,0,0
2026-08-02 00:00:00+00:00,18,8,1,1
2026-08-03 00:00:00+00:00,4,4,2,2
2026-08-04 00:00:00+00:00,6,6,2,2
2026-08-05 00:00:00+00:00,13,4,5,1
2026-08-06 00:00:00+00:00,1,1,0,0
2026-08-07 00:00:00+00:00,4,3,0,0
