time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-13 00:00:00+00:00,22,7,1,1
2026-05-14 00:00:00+00:00,27,10,0,0
2026-05-15 00:00:00+00:00,11,6,0,0
2026-05-16 00:00:00+00:00,19,6,0,0
2026-05-17 00:00:00+00:00,28,7,0,0
2026-05-18 00:00:00+00:00,43,12,0,0
2026-05-19 00:00:00+00:00,9,4,0,0
2026-05-20 00:00:00+00:00,11,3,0,0
2026-05-21 00:00:00+00:00,22,8,0,0
2026-05-22 00:00:00+00:00,7,2,2,1
2026-05-23 00:00:00+00:00,26,13,0,0
2026-05-24 00:00:00+00:00,29,11,0,0
2026-05-25 00:00:00+00:00,14,4,0,0
2026-05-26 00:00:00+00:00,14,5,6,1
