time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-03 00:00:00+00:00,19,10,1,1
2026-06-04 00:00:00+00:00,3,3,0,0
2026-06-05 00:00:00+00:00,10,8,0,0
2026-06-06 00:00:00+00:00,28,10,0,0
2026-06-07 00:00:00+00:00,6,2,0,0
2026-06-08 00:00:00+00:00,23,10,6,1
2026-06-09 00:00:00+00:00,20,7,3,1
2026-06-10 00:00:00+00:00,14,9,0,0
2026-06-11 00:00:00+00:00,22,9,1,1
2026-06-12 00:00:00+00:00,22,8,0,0
2026-06-13 00:00:00+00:00,22,10,0,0
2026-06-14 00:00:00+00:00,8,3,0,0
2026-06-15 00:00:00+00:00,11,5,0,0
2026-06-16 00:00:00+00:00,13,3,0,0
