time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-17 00:00:00+00:00,5.0,4.0,48,3
2023-09-18 00:00:00+00:00,1.0,1.0,22,1
2023-09-19 00:00:00+00:00,,,15,1
2023-09-20 00:00:00+00:00,28.0,15.0,106,2
2023-09-21 00:00:00+00:00,8.0,6.0,41,4
2023-09-22 00:00:00+00:00,,,34,4
2023-09-25 00:00:00+00:00,1.0,1.0,3,1
2023-09-26 00:00:00+00:00,,,53,7
2023-09-27 00:00:00+00:00,6.0,6.0,22,2
2023-09-28 00:00:00+00:00,41.0,9.0,115,7
2023-09-29 00:00:00+00:00,8.0,7.0,16,3
2023-09-30 00:00:00+00:00,,,7,1
