time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-16 00:00:00+00:00,2,2,15.0,1.0
2023-10-17 00:00:00+00:00,1,1,13.0,2.0
2023-10-18 00:00:00+00:00,4,3,,
2023-10-19 00:00:00+00:00,3,2,10.0,2.0
2023-10-20 00:00:00+00:00,1,1,,
2023-10-21 00:00:00+00:00,2,2,,
2023-10-22 00:00:00+00:00,2,2,,
2023-10-23 00:00:00+00:00,2,2,12.0,1.0
2023-10-24 00:00:00+00:00,1,1,38.0,4.0
2023-10-25 00:00:00+00:00,1,1,,
2023-10-26 00:00:00+00:00,1,1,41.0,6.0
2023-10-27 00:00:00+00:00,1,1,,
2023-10-28 00:00:00+00:00,1,1,3.0,2.0
