time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-26 00:00:00+00:00,14,5,6,1
2026-05-27 00:00:00+00:00,17,8,0,0
2026-05-28 00:00:00+00:00,16,7,0,0
2026-05-29 00:00:00+00:00,9,4,0,0
2026-05-30 00:00:00+00:00,30,12,0,0
2026-05-31 00:00:00+00:00,18,8,0,0
2026-06-01 00:00:00+00:00,1,1,0,0
2026-06-02 00:00:00+00:00,16,7,0,0
2026-06-03 00:00:00+00:00,19,10,1,1
2026-06-04 00:00:00+00:00,3,3,0,0
2026-06-05 00:00:00+00:00,10,8,0,0
2026-06-06 00:00:00+00:00,28,10,0,0
2026-06-07 00:00:00+00:00,6,2,0,0
2026-06-08 00:00:00+00:00,23,10,6,1
