url_path,views_total,views_unique
/bandframework/rose,24,17
/bandframework/rose/tree/main/docs/tutorials,10,4
/bandframework/rose/tree/main/src/rose,9,2
/bandframework/rose/tree/main/docs,6,2
/bandframework/rose/blob/main/requirements.txt,6,1
/bandframework/rose/blob/v1.0.0/docs/tutorials/ROSE_tutorial_2_optical_potential_surmise_UQ.ipynb,6,1
/bandframework/rose/blob/main/docs/tutorials/ROSE_tutorial_1_building_an_emulator.ipynb,4,2
/bandframework/rose/tree/main,2,2
/bandframework/rose/blob/main/LICENSE,2,1
/bandframework/rose/blob/main/src/rose/basis.py,2,1
