time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-21 00:00:00+00:00,8.0,6.0,41,4
2023-09-22 00:00:00+00:00,,,34,4
2023-09-25 00:00:00+00:00,1.0,1.0,3,1
2023-09-26 00:00:00+00:00,,,53,7
2023-09-27 00:00:00+00:00,6.0,6.0,22,2
2023-09-28 00:00:00+00:00,41.0,9.0,115,7
2023-09-29 00:00:00+00:00,8.0,7.0,16,3
2023-09-30 00:00:00+00:00,2.0,2.0,7,1
2023-10-01 00:00:00+00:00,3.0,3.0,44,1
2023-10-02 00:00:00+00:00,3.0,3.0,3,3
2023-10-03 00:00:00+00:00,7.0,7.0,48,5
2023-10-04 00:00:00+00:00,5.0,4.0,28,3
