time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-31 00:00:00+00:00,3.0,3.0,29.0,3.0
2024-08-01 00:00:00+00:00,,,1.0,1.0
2024-08-02 00:00:00+00:00,2.0,1.0,1.0,1.0
2024-08-04 00:00:00+00:00,1.0,1.0,,
2024-08-05 00:00:00+00:00,4.0,2.0,15.0,1.0
2024-08-07 00:00:00+00:00,1.0,1.0,34.0,3.0
2024-08-08 00:00:00+00:00,2.0,2.0,2.0,1.0
2024-08-09 00:00:00+00:00,8.0,4.0,9.0,2.0
2024-08-10 00:00:00+00:00,14.0,4.0,6.0,3.0
2024-08-11 00:00:00+00:00,2.0,1.0,,
2024-08-12 00:00:00+00:00,14.0,4.0,26.0,7.0
